league,league_id,league_tier,league_start_date_time,league_end_date_time,league_region,series_id,series_type,match_id,match_start_date_time,match_duration_seconds,first_blood_time_seconds,radiant_team_id,radiant_team_name,dire_team_id,dire_team_name,winner_id,radiant_kills,dire_kills,radiant_player_1_id,radiant_player_1_name,radiant_player_1_hero_id,radiant_player_1_hero,radiant_player_1_position,radiant_player_1_lane,radiant_player_1_role,radiant_player_1_kills,radiant_player_1_deaths,radiant_player_1_assists,radiant_player_1_networth,radiant_player_2_id,radiant_player_2_name,radiant_player_2_hero_id,radiant_player_2_hero,radiant_player_2_position,radiant_player_2_lane,radiant_player_2_role,radiant_player_2_kills,radiant_player_2_deaths,radiant_player_2_assists,radiant_player_2_networth,radiant_player_3_id,radiant_player_3_name,radiant_player_3_hero_id,radiant_player_3_hero,radiant_player_3_position,radiant_player_3_lane,radiant_player_3_role,radiant_player_3_kills,radiant_player_3_deaths,radiant_player_3_assists,radiant_player_3_networth,radiant_player_4_id,radiant_player_4_name,radiant_player_4_hero_id,radiant_player_4_hero,radiant_player_4_position,radiant_player_4_lane,radiant_player_4_role,radiant_player_4_kills,radiant_player_4_deaths,radiant_player_4_assists,radiant_player_4_networth,radiant_player_5_id,radiant_player_5_name,radiant_player_5_hero_id,radiant_player_5_hero,radiant_player_5_position,radiant_player_5_lane,radiant_player_5_role,radiant_player_5_kills,radiant_player_5_deaths,radiant_player_5_assists,radiant_player_5_networth,dire_player_1_id,dire_player_1_name,dire_player_1_hero_id,dire_player_1_hero,dire_player_1_position,dire_player_1_lane,dire_player_1_role,dire_player_1_kills,dire_player_1_deaths,dire_player_1_assists,dire_player_1_networth,dire_player_2_id,dire_player_2_name,dire_player_2_hero_id,dire_player_2_hero,dire_player_2_position,dire_player_2_lane,dire_player_2_role,dire_player_2_kills,dire_player_2_deaths,dire_player_2_assists,dire_player_2_networth,dire_player_3_id,dire_player_3_name,dire_player_3_hero_id,dire_player_3_hero,dire_player_3_position,dire_player_3_lane,dire_player_3_role,dire_player_3_kills,dire_player_3_deaths,dire_player_3_assists,dire_player_3_networth,dire_player_4_id,dire_player_4_name,dire_player_4_hero_id,dire_player_4_hero,dire_player_4_position,dire_player_4_lane,dire_player_4_role,dire_player_4_kills,dire_player_4_deaths,dire_player_4_assists,dire_player_4_networth,dire_player_5_id,dire_player_5_name,dire_player_5_hero_id,dire_player_5_hero,dire_player_5_position,dire_player_5_lane,dire_player_5_role,dire_player_5_kills,dire_player_5_deaths,dire_player_5_assists,dire_player_5_networth,game_version_id
Ancients League,15819,PROFESSIONAL,2023-09-29 00:00:00,2024-03-29 00:00:00,CIS,833929,BEST_OF_THREE,7482862354,2023-12-11 04:51:03,1685,80,8936507,FenixTeam,8864178,Marvelous Warriors,8864178,14,41,1300455837,BeNnS,13,Puck,POSITION_2,MID_LANE,CORE,5,4,2,13568,1479402527,shogeyuu,56,Clinkz,POSITION_5,SAFE_LANE,HARD_SUPPORT,1,11,10,8037,1479790131,sonlin,51,Clockwerk,POSITION_4,OFF_LANE,LIGHT_SUPPORT,3,10,7,5365,1533145710,Snémaât,8,Juggernaut,POSITION_1,SAFE_LANE,CORE,2,6,1,11523,288327980,Flint-,99,Bristleback,POSITION_3,OFF_LANE,CORE,3,10,4,11303,1470752474,Sele6rity,23,Kunkka,POSITION_2,MID_LANE,CORE,5,1,22,16373,1459382454,Renarr,70,Ursa,POSITION_1,SAFE_LANE,CORE,19,3,4,22626,1459311384,Fantasy,129,Mars,POSITION_3,OFF_LANE,CORE,6,4,14,12955,1532806426,Blue Ivy,101,Skywrath Mage,POSITION_4,OFF_LANE,LIGHT_SUPPORT,6,4,13,9052,1533499102,kuro4ka,64,Jakiro,POSITION_5,SAFE_LANE,HARD_SUPPORT,5,3,24,12321,168
Destiny league,15716,PROFESSIONAL,2023-09-04 22:00:00,2024-01-30 23:00:00,CIS,833930,BEST_OF_THREE,7482858470,2023-12-11 04:46:13,1455,146,8629327,Sworn Die,8629005,Flawless Goblins,8629327,32,14,176158708,Denz,45,Pugna,POSITION_4,OFF_LANE,LIGHT_SUPPORT,1,4,13,7867,1090568489,SectumSempra,3,Bane,POSITION_5,SAFE_LANE,HARD_SUPPORT,10,1,9,10995,412910858,Vahee,96,Centaur Warrunner,POSITION_3,OFF_LANE,CORE,5,4,8,12513,1068676453,Aboba,13,Puck,POSITION_2,MID_LANE,CORE,9,4,9,12643,376005174,wannacoffe,48,Luna,POSITION_1,SAFE_LANE,CORE,7,1,7,20252,928499811,Okoni,69,Doom,POSITION_4,OFF_LANE,LIGHT_SUPPORT,7,6,3,10017,1200963940,ZodiAc!,11,Shadow Fiend,POSITION_2,MID_LANE,CORE,2,6,3,9281,1228355759,Kreen,129,Mars,POSITION_3,OFF_LANE,CORE,1,10,2,9348,1185918470,tinkywinky,4,Bloodseeker,POSITION_1,SAFE_LANE,CORE,4,3,4,12561,1227183303,Randing,84,Ogre Magi,POSITION_5,SAFE_LANE,HARD_SUPPORT,0,7,7,4412,168
ESL One Kuala Lumpur powered by Intel,15910,PROFESSIONAL,2023-12-08 00:00:00,2023-12-19 00:00:00,UNSET,833928,BEST_OF_THREE,7482824752,2023-12-11 04:09:00,2162,6,8255888,BetBoom Team,8599101,Gaimin Gladiators,8599101,17,27,124801257,Nightfall,41,Faceless Void,POSITION_1,SAFE_LANE,CORE,0,3,12,19502,480412663,gpk,74,Invoker,POSITION_2,MID_LANE,CORE,8,1,7,19360,331855530,Pure,36,Necrophos,POSITION_3,OFF_LANE,CORE,5,6,5,20026,317880638,Save-,96,Centaur Warrunner,POSITION_4,OFF_LANE,LIGHT_SUPPORT,1,10,11,7715,431770905,TORONTOTOKYO,58,Enchantress,POSITION_5,SAFE_LANE,HARD_SUPPORT,3,7,9,10594,91730177,Seleri,5,Crystal Maiden,POSITION_5,SAFE_LANE,HARD_SUPPORT,4,3,16,12493,116934015,DyrachYO,73,Alchemist,POSITION_1,SAFE_LANE,CORE,12,2,8,31369,97590558,Ace,50,Dazzle,POSITION_3,OFF_LANE,CORE,4,4,7,21509,16497807,tOfu,100,Tusk,POSITION_4,OFF_LANE,LIGHT_SUPPORT,3,5,20,11775,221666230,Quinn,59,Huskar,POSITION_2,MID_LANE,CORE,4,4,7,21202,168
Destiny league,15716,PROFESSIONAL,2023-09-04 22:00:00,2024-01-30 23:00:00,CIS,833930,BEST_OF_THREE,7482828932,2023-12-11 04:03:40,1765,3,8629005,Flawless Goblins,8629327,Sworn Die,8629005,44,27,928499811,Okoni,71,Spirit Breaker,POSITION_4,OFF_LANE,LIGHT_SUPPORT,5,8,26,9502,1228355759,Kreen,21,Windranger,POSITION_3,OFF_LANE,CORE,26,3,5,24724,1200963940,ZodiAc!,50,Dazzle,POSITION_2,MID_LANE,CORE,5,5,11,15212,1185918470,tinkywinky,48,Luna,POSITION_1,SAFE_LANE,CORE,5,4,13,20436,1227183303,Randing,119,Dark Willow,POSITION_5,SAFE_LANE,HARD_SUPPORT,3,7,10,8030,176158708,Denz,110,Phoenix,POSITION_4,OFF_LANE,LIGHT_SUPPORT,5,11,11,10627,1068676453,Aboba,23,Kunkka,POSITION_2,MID_LANE,CORE,2,6,11,14785,412910858,Vahee,81,Chaos Knight,POSITION_3,OFF_LANE,CORE,7,6,8,16864,1090568489,SectumSempra,121,Grimstroke,POSITION_5,SAFE_LANE,HARD_SUPPORT,6,13,9,7447,376005174,wannacoffe,46,Templar Assassin,POSITION_1,SAFE_LANE,CORE,4,8,10,14004,168
Ancients League,15819,PROFESSIONAL,2023-09-29 00:00:00,2024-03-29 00:00:00,CIS,833929,BEST_OF_THREE,7482830260,2023-12-11 04:02:51,2250,14,8864178,Marvelous Warriors,8936507,FenixTeam,8936507,33,45,1470752474,Sele6rity,22,Zeus,POSITION_2,MID_LANE,CORE,3,6,19,15666,1532806426,Blue Ivy,45,Pugna,POSITION_4,OFF_LANE,LIGHT_SUPPORT,4,8,19,11427,1459311384,Fantasy,71,Spirit Breaker,POSITION_3,OFF_LANE,CORE,7,12,14,16942,1459382454,Renarr,1,Anti-Mage,POSITION_1,SAFE_LANE,CORE,10,10,12,21811,1533499102,kuro4ka,128,Snapfire,POSITION_5,SAFE_LANE,HARD_SUPPORT,9,9,8,12349,1300455837,BeNnS,106,Ember Spirit,POSITION_2,MID_LANE,CORE,27,4,8,25614,1479402527,shogeyuu,68,Ancient Apparition,POSITION_5,SAFE_LANE,HARD_SUPPORT,1,8,27,15620,1479790131,sonlin,121,Grimstroke,POSITION_4,OFF_LANE,LIGHT_SUPPORT,3,8,32,12020,1533145710,Snémaât,63,Weaver,POSITION_1,SAFE_LANE,CORE,9,6,17,23348,288327980,Flint-,29,Tidehunter,POSITION_3,OFF_LANE,CORE,5,7,20,17277,168
ESL One Kuala Lumpur powered by Intel,15910,PROFESSIONAL,2023-12-08 00:00:00,2023-12-19 00:00:00,UNSET,833926,BEST_OF_THREE,7482819153,2023-12-11 04:00:08,3037,133,1838315,Team Secret,8574561,Azure Ray,8574561,23,43,87278757,Puppey,40,Venomancer,POSITION_5,SAFE_LANE,HARD_SUPPORT,3,12,15,15213,9403474,yamich,20,Vengeful Spirit,POSITION_4,ROAMING,LIGHT_SUPPORT,3,13,16,10361,127617979,Crystallis,4,Bloodseeker,POSITION_1,SAFE_LANE,CORE,7,4,7,29045,190826739,BOOM,78,Brewmaster,POSITION_3,OFF_LANE,CORE,4,6,5,22751,116585378,MidOne,49,Dragon Knight,POSITION_2,MID_LANE,CORE,6,8,10,29181,185908355,lou,54,Lifestealer,POSITION_1,SAFE_LANE,CORE,11,2,14,43566,137129583,Xm,13,Puck,POSITION_2,MID_LANE,CORE,19,4,16,32001,129958758,Xxs,28,Slardar,POSITION_3,OFF_LANE,CORE,8,3,27,28024,157475523,XinQ,86,Rubick,POSITION_4,OFF_LANE,LIGHT_SUPPORT,2,7,32,21131,158847773,天命,75,Silencer,POSITION_5,SAFE_LANE,HARD_SUPPORT,3,8,33,17595,168
ESL One Kuala Lumpur powered by Intel,15910,PROFESSIONAL,2023-12-08 00:00:00,2023-12-19 00:00:00,UNSET,833927,BEST_OF_THREE,7482824677,2023-12-11 04:00:07,2089,140,9256222,Wawitas sagazes,8668460,Blacklist Rivalry ,8668460,16,28,191290281,Lumière,63,Weaver,POSITION_1,SAFE_LANE,CORE,4,4,4,16577,117089283,Pandaboo,51,Clockwerk,POSITION_5,SAFE_LANE,HARD_SUPPORT,3,11,9,7223,352545711,DarkMago♥,65,Batrider,POSITION_2,MID_LANE,CORE,3,3,8,16769,85696663,n1ght,26,Lion,POSITION_4,OFF_LANE,LIGHT_SUPPORT,2,5,11,6920,352623024,Oscar,28,Slardar,POSITION_3,OFF_LANE,CORE,5,5,6,14449,154715080,Abed,25,Lina,POSITION_2,MID_LANE,CORE,12,2,9,25960,155494381,Tims,138,Muerta,POSITION_4,OFF_LANE,LIGHT_SUPPORT,4,4,11,11365,152545459,Gabbi,78,Brewmaster,POSITION_3,OFF_LANE,CORE,1,3,16,23896,132309493,Raven,46,Templar Assassin,POSITION_1,SAFE_LANE,CORE,8,1,7,26801,156029808,BDz,84,Ogre Magi,POSITION_5,SAFE_LANE,HARD_SUPPORT,3,7,12,11110,168
Dota 2 Space League,15660,PROFESSIONAL,2023-08-31 00:00:00,2024-01-30 00:00:00,CIS,833892,BEST_OF_THREE,7482713849,2023-12-11 00:53:52,1720,115,9048057,Vitality Warriors,8936613,Wild Dragon,9048057,38,16,164322994,VW.Snickerdoodle,67,Spectre,POSITION_1,SAFE_LANE,CORE,10,0,15,17840,154357932,VW.Chucklesaur,20,Vengeful Spirit,POSITION_5,SAFE_LANE,HARD_SUPPORT,2,11,14,7215,177062248,VW.Laughalot,71,Spirit Breaker,POSITION_3,OFF_LANE,CORE,6,3,21,15522,294245092,VW.Gigglebot,121,Grimstroke,POSITION_4,OFF_LANE,LIGHT_SUPPORT,5,2,17,11228,279486190,VW.Jesterface,39,Queen of Pain,POSITION_2,MID_LANE,CORE,14,0,7,20177,302025029,WD.Nyac,34,Tinker,POSITION_2,MID_LANE,CORE,3,5,3,11141,35127887,WD.Javi,78,Brewmaster,POSITION_3,OFF_LANE,CORE,3,8,8,13715,370736080,WD.Darima,91,Io,POSITION_4,OFF_LANE,LIGHT_SUPPORT,1,11,11,4743,153638376,WD.Hellen,119,Dark Willow,POSITION_5,SAFE_LANE,HARD_SUPPORT,1,8,10,4486,198356771,WD.Kalanno,44,Phantom Assassin,POSITION_1,SAFE_LANE,CORE,7,6,2,14233,168
Dota 2 Space League,15660,PROFESSIONAL,2023-08-31 00:00:00,2024-01-30 00:00:00,CIS,833892,BEST_OF_THREE,7482689352,2023-12-11 00:08:42,2039,258,8936613,Wild Dragon,9048057,Vitality Warriors,9048057,28,38,35127887,WD.Javi,76,Outworld Destroyer,POSITION_3,OFF_LANE,CORE,6,6,3,17886,198356771,WD.Kalanno,44,Phantom Assassin,POSITION_1,SAFE_LANE,CORE,9,5,3,21733,302025029,WD.Nyac,25,Lina,POSITION_2,MID_LANE,CORE,8,4,3,22735,370736080,WD.Darima,101,Skywrath Mage,POSITION_4,OFF_LANE,LIGHT_SUPPORT,2,13,11,8943,153638376,WD.Hellen,64,Jakiro,POSITION_5,SAFE_LANE,HARD_SUPPORT,3,10,7,9298,177062248,VW.Laughalot,80,Lone Druid,POSITION_3,OFF_LANE,CORE,6,7,8,21649,164322994,VW.Snickerdoodle,48,Luna,POSITION_1,SAFE_LANE,CORE,4,7,10,21788,294245092,VW.Gigglebot,138,Muerta,POSITION_4,OFF_LANE,LIGHT_SUPPORT,6,5,14,15251,154357932,VW.Chucklesaur,31,Lich,POSITION_5,SAFE_LANE,HARD_SUPPORT,8,7,18,12513,279486190,VW.Jesterface,97,Magnus,POSITION_2,MID_LANE,CORE,13,2,8,29767,168
Dota 2 Space League,15660,PROFESSIONAL,2023-08-31 00:00:00,2024-01-30 00:00:00,CIS,833892,BEST_OF_THREE,7482665798,2023-12-10 23:26:29,1855,109,9048057,Vitality Warriors,8936613,Wild Dragon,8936613,15,40,177062248,VW.Laughalot,97,Magnus,POSITION_3,OFF_LANE,CORE,3,8,2,13424,154357932,VW.Chucklesaur,31,Lich,POSITION_5,SAFE_LANE,HARD_SUPPORT,1,13,5,4498,294245092,VW.Gigglebot,101,Skywrath Mage,POSITION_4,OFF_LANE,LIGHT_SUPPORT,3,5,3,8044,279486190,VW.Jesterface,74,Invoker,POSITION_2,MID_LANE,CORE,3,7,5,12049,164322994,VW.Snickerdoodle,18,Sven,POSITION_1,SAFE_LANE,CORE,5,7,5,14771,35127887,WD.Javi,45,Pugna,POSITION_3,OFF_LANE,CORE,7,4,11,17237,153638376,WD.Hellen,20,Vengeful Spirit,POSITION_5,SAFE_LANE,HARD_SUPPORT,1,3,26,10922,302025029,WD.Nyac,13,Puck,POSITION_2,MID_LANE,CORE,20,1,8,24531,370736080,WD.Darima,86,Rubick,POSITION_4,OFF_LANE,LIGHT_SUPPORT,1,7,16,9374,198356771,WD.Kalanno,81,Chaos Knight,POSITION_1,SAFE_LANE,CORE,11,0,11,22425,168
